Country,Production,Consumption
Burkina Faso,9607,2546
Burkina Faso,9607,2588
Burkina Faso,9607,2639
Burkina Faso,9607,2681
Burkina Faso,9607,2664
Burkina Faso,9607,2707
Burkina Faso,9607,2720
Burkina Faso,11122,2505
Burkina Faso,11122,2463
Burkina Faso,11122,2559
Burkina Faso,11122,2546
Burkina Faso,11122,2588
Burkina Faso,11122,2639
Burkina Faso,11122,2681
Burkina Faso,11122,2664
Burkina Faso,11122,2707
Burkina Faso,11122,2720
Burkina Faso,9954,2505
Burkina Faso,9954,2463
Burkina Faso,9954,2559
Burkina Faso,9954,2546
Burkina Faso,9954,2588
Burkina Faso,9954,2639
Burkina Faso,9954,2681
Burkina Faso,9954,2664
Burkina Faso,9954,2707
Burkina Faso,9954,2720
Burkina Faso,11634,2505
Burkina Faso,11634,2463
Burkina Faso,11634,2559
Burkina Faso,11634,2546
Burkina Faso,11634,2588
Burkina Faso,11634,2639
Burkina Faso,11634,2681
Burkina Faso,11634,2664
Burkina Faso,11634,2707
Burkina Faso,11634,2720
Burkina Faso,11864,2505
Burkina Faso,11864,2463
Burkina Faso,11864,2559
Burkina Faso,11864,2546
Burkina Faso,11864,2588
Burkina Faso,11864,2639
Burkina Faso,11864,2681
Burkina Faso,11864,2664
Burkina Faso,11864,2707
Burkina Faso,11864,2720
Cabo Verde,148,2523
Cabo Verde,148,2517
Cabo Verde,148,2513
Cabo Verde,148,2574
Cabo Verde,148,2540
Cabo Verde,148,2558
Cabo Verde,148,2524
Cabo Verde,148,2566
Cabo Verde,148,2590
Cabo Verde,148,2609
Cabo Verde,156,2523
Cabo Verde,156,2517
Cabo Verde,156,2513
Cabo Verde,156,2574
Cabo Verde,156,2540
Cabo Verde,156,2558
Cabo Verde,156,2524
Cabo Verde,156,2566
Cabo Verde,156,2590
Cabo Verde,156,2609
Cabo Verde,158,2523
Cabo Verde,158,2517
Cabo Verde,158,2513
Cabo Verde,158,2574
Cabo Verde,158,2540
Cabo Verde,158,2558
Cabo Verde,158,2524
Cabo Verde,158,2566
Cabo Verde,158,2590
Cabo Verde,158,2609
Cabo Verde,157,2523
Cabo Verde,157,2517
Cabo Verde,157,2513
Cabo Verde,157,2574
Cabo Verde,157,2540
Cabo Verde,157,2558
Cabo Verde,157,2524
Cabo Verde,157,2566
Cabo Verde,157,2590
Cabo Verde,157,2609
Cabo Verde,172,2523
Cabo Verde,172,2517
Cabo Verde,172,2513
Cabo Verde,172,2574
Cabo Verde,172,2540
Cabo Verde,172,2558
Cabo Verde,172,2524
Cabo Verde,172,2566
Cabo Verde,172,2590
Cabo Verde,172,2609
Cabo Verde,158,2523
Cabo Verde,158,2517
Cabo Verde,158,2513
Cabo Verde,158,2574
Cabo Verde,158,2540
Cabo Verde,158,2558
Cabo Verde,158,2524
Cabo Verde,158,2566
Cabo Verde,158,2590
Cabo Verde,158,2609
Cabo Verde,149,2523
Cabo Verde,149,2517
Cabo Verde,149,2513
Cabo Verde,149,2574
Cabo Verde,149,2540
Cabo Verde,149,2558
Cabo Verde,149,2524
Cabo Verde,149,2566
Cabo Verde,149,2590
